rows,cols,ratio,r_row,r_cell,variant,family,rmse,max_abs_error,max_rel_error,mean_rel_error,backend,elapsed_s
4,4,0.0001,1.0,10000.0,baseline,none,3.1422455010568886e-07,3.774896908762004e-07,0.0013481774674150016,0.001098686634911659,dense,0.0003206999972462654
4,4,0.0001,1.0,10000.0,wl_partial_2,partial,2.2424162855058643e-07,2.377832006433822e-07,0.0008492257165835079,0.0007993056127051652,dense,0.00021040000137872994
4,4,0.0001,1.0,10000.0,wl_partial_4,partial,3.1422455010568886e-07,3.774896908762004e-07,0.0013481774674150016,0.001098686634911659,dense,0.00016500000492669642
4,4,0.0001,1.0,10000.0,wl_full_nonideal_lo,partial,2.147239443019262e-07,2.154194689819259e-07,0.0007693552463640211,0.0007668590416435601,dense,0.00028110000130254775
4,4,0.0001,1.0,10000.0,wl_full_nonideal_hi,partial,2.3436765679743207e-07,2.3778389893143502e-07,0.0008492282104694108,0.0008367481845309717,dense,0.00024640001356601715
4,4,0.0001,1.0,10000.0,wl_buffer_full,full,2.0982794247151023e-07,2.0982794247151023e-07,0.0007493855088268223,0.0007493855088268223,dense,0.00019650001195259392
4,4,0.0001,1.0,10000.0,bl_star,full,1.796989769610386e-07,2.3780835373566483e-07,0.0008493155490559459,0.0005995753229950695,dense,0.0001630000042496249
4,4,0.0001,1.0,10000.0,combined_full,full,6.99790069975427e-08,6.99790069975427e-08,0.00024992502499122395,0.00024992502499122395,dense,0.00020530000620055944
4,4,0.0003,2.9999999999999996,10000.0,baseline,none,9.403646009655167e-07,1.12941960345636e-06,0.0040336414409155716,0.003288209030354243,dense,0.00016260000120382756
4,4,0.0003,2.9999999999999996,10000.0,wl_partial_2,partial,6.715553259720171e-07,7.120524073504753e-07,0.0025430443119659834,0.002393761513803299,dense,0.00018730000010691583
4,4,0.0003,2.9999999999999996,10000.0,wl_partial_4,partial,9.403646009655167e-07,1.12941960345636e-06,0.0040336414409155716,0.003288209030354243,dense,0.0001539999939268455
4,4,0.0003,2.9999999999999996,10000.0,wl_full_nonideal_lo,partial,6.430977009060692e-07,6.45177967530271e-07,0.0023042070268938252,0.002296741099724856,dense,0.00026119999529328197
4,4,0.0003,2.9999999999999996,10000.0,wl_full_nonideal_hi,partial,7.01842286448724e-07,7.120586612890316e-07,0.002543066647460827,0.002505745948755863,dense,0.0002657000004546717
4,4,0.0003,2.9999999999999996,10000.0,wl_buffer_full,full,6.284540403793718e-07,6.284540403793718e-07,0.002244478715640614,0.002244478715640614,dense,0.00020689998927991837
4,4,0.0003,2.9999999999999996,10000.0,bl_star,full,5.382931477347927e-07,7.122779441601896e-07,0.002543849800572106,0.0017961837071129502,dense,0.00014930000179447234
