rows,cols,ratio,r_row,r_cell,variant,family,rmse,max_abs_error,max_rel_error,mean_rel_error,backend,elapsed_s
4,4,0.001,1.0,1000.0,baseline,none,3.107916354159222e-05,3.729582586336176e-05,0.013319937808343486,0.010870116366213465,dense,0.0005076000088592991
4,4,0.001,1.0,1000.0,wl_partial_2,partial,2.2249807958810834e-05,2.3584989827791017e-05,0.008423210652782506,0.007931107857996597,dense,0.0003735999925993383
4,4,0.001,1.0,1000.0,wl_partial_4,partial,3.107916354159222e-05,3.729582586336176e-05,0.013319937808343486,0.010870116366213465,dense,0.0003141999914078042
4,4,0.001,1.0,1000.0,wl_full_nonideal_lo,partial,2.1312219750197075e-05,2.1380834238269274e-05,0.007636012227953312,0.00761138755444783,dense,0.0006810999911976978
4,4,0.001,1.0,1000.0,wl_full_nonideal_hi,partial,2.3248858280931273e-05,2.3585672975575452e-05,0.00842345463413409,0.008300428965708944,dense,0.00029070000164210796
4,4,0.001,1.0,1000.0,wl_buffer_full,full,2.0829214176989932e-05,2.0829214176989932e-05,0.00743900506321069,0.00743900506321069,dense,0.00031519999902229756
4,4,0.001,1.0,1000.0,bl_star,full,1.784998704087176e-05,2.3609726250940852e-05,0.008432045089621733,0.005957820716516243,dense,0.0006463000026997179
4,4,0.001,1.0,1000.0,combined_full,full,6.979069753106776e-06,6.979069753106776e-06,0.0024925249118238485,0.0024925249118238485,dense,0.0007010999979684129
4,4,0.003,3.0,1000.0,baseline,none,9.103067836315391e-05,0.00010898051105797703,0.038921611092134656,0.03185906939240653,dense,0.0003939000016544014
4,4,0.003,3.0,1000.0,wl_partial_2,partial,6.561616107130257e-05,6.949975489565227e-05,0.024821341034161528,0.023390628570538526,dense,0.0003254000039305538
4,4,0.003,3.0,1000.0,wl_partial_4,partial,9.103067836315391e-05,0.00010898051105797703,0.038921611092134656,0.03185906939240653,dense,0.0003183999942848459
4,4,0.003,3.0,1000.0,wl_full_nonideal_lo,partial,6.289434971191986e-05,6.309415802624365e-05,0.02253362786651559,0.022461924416885375,dense,0.0004707000043708831
4,4,0.003,3.0,1000.0,wl_full_nonideal_hi,partial,6.852607726278997e-05,6.950561527480298e-05,0.02482343402671535,0.02446575667855546,dense,0.00043119999463669956
4,4,0.003,3.0,1000.0,wl_buffer_full,full,6.148776509936347e-05,6.148776509936347e-05,0.021959916106915525,0.021959916106915525,dense,0.00033290000283159316
4,4,0.003,3.0,1000.0,bl_star,full,5.276831339331323e-05,6.971435791354929e-05,0.024897984969124747,0.01762602578124089,dense,0.00033569999504834414
4,4,0.003,3.0,1000.0,combined_full,full,2.0812870146863244e-05,2.0812870146863244e-05,0.007433167909594016,0.007433167909594016,dense,0.0003083000046899542
4,4,0.01,10.0,1000.0,baseline,none,0.00028031204004688547,0.0003329943300144117,0.11892654643371847,0.09830196596201796,dense,0.00020310000400058925
4,4,0.01,10.0,1000.0,wl_partial_2,partial,0.00020646743966475534,0.000218137708545868,0.07790632448066714,0.07361329572418672,dense,0.00025379999715369195
4,4,0.01,10.0,1000.0,wl_partial_4,partial,0.00028031204004688547,0.0003329943300144117,0.11892654643371847,0.09830196596201796,dense,0.00024219999613706023
4,4,0.01,10.0,1000.0,wl_full_nonideal_lo,partial,0.00019834023959686313,0.00019894296159428523,0.07105105771224472,0.07083480960310662,dense,0.0005650000093737617
4,4,0.01,10.0,1000.0,wl_full_nonideal_hi,partial,0.00021525106719425845,0.0002181931844657519,0.0779261373091971,0.07685290320622191,dense,0.0002897000085795298
4,4,0.01,10.0,1000.0,wl_buffer_full,full,0.0001940967475095776,0.0001940967475095776,0.0693202669677063,0.0693202669677063,dense,0.00024310000299010426
4,4,0.01,10.0,1000.0,bl_star,full,0.00016737081510405242,0.00022024351566022433,0.07865839845008012,0.05604962109477321,dense,0.00016250000044237822
4,4,0.01,10.0,1000.0,combined_full,full,6.796760970302499e-05,6.796760970302499e-05,0.024274146322508926,0.024274146322508926,dense,0.00019439999596215785
4,4,0.03,30.0,1000.0,baseline,none,0.0006918603500083135,0.0008069784355682454,0.28820658413151623,0.24365182552186343,dense,0.00016540000797249377
4,4,0.03,30.0,1000.0,wl_partial_2,partial,0.000534197946534233,0.0005611137893390275,0.20039778190679555,0.19052959847407197,dense,0.00016360000881832093
4,4,0.03,30.0,1000.0,wl_partial_4,partial,0.0006918603500083135,0.0008069784355682454,0.28820658413151623,0.24365182552186343,dense,0.00016169999435078353
4,4,0.03,30.0,1000.0,wl_full_nonideal_lo,partial,0.0005157334246311002,0.0005171364677226263,0.1846915956152237,0.18418844712856758,dense,0.000232299993513152
4,4,0.03,30.0,1000.0,wl_full_nonideal_hi,partial,0.0005546704156551713,0.0005614480850876236,0.20051717324557986,0.1980504995960465,dense,0.00022899999748915434
4,4,0.03,30.0,1000.0,wl_buffer_full,full,0.0005058519621157754,0.0005058519621157754,0.18066141504134836,0.18066141504134836,dense,0.00018640000780578703
4,4,0.03,30.0,1000.0,bl_star,full,0.0004415069501492076,0.0005748228570220202,0.20529387750786435,0.1488121956491677,dense,0.00016549999418202788
4,4,0.03,30.0,1000.0,combined_full,full,0.00019280915616161137,0.00019280915616161137,0.06886041291486121,0.06886041291486121,dense,0.0001799000019673258
4,4,0.1,100.0,1000.0,baseline,none,0.0014344198479663093,0.0016095982633794648,0.5748565226355231,0.5085594412708387,dense,0.00018050000653602183
4,4,0.1,100.0,1000.0,wl_partial_2,partial,0.0012056034976440381,0.0012517155877228242,0.4470412813295801,0.43024494644569933,dense,0.00016060000052675605
4,4,0.1,100.0,1000.0,wl_partial_4,partial,0.0014344198479663093,0.0016095982633794648,0.5748565226355231,0.5085594412708387,dense,0.00015530000382568687
4,4,0.1,100.0,1000.0,wl_full_nonideal_lo,partial,0.001175017060155568,0.001177479248619509,0.4205283030783961,0.4196461685740532,dense,0.0002339000056963414
4,4,0.1,100.0,1000.0,wl_full_nonideal_hi,partial,0.0012415424577934186,0.00125312131040593,0.44754332514497497,0.44334848913800984,dense,0.0002263999922433868
4,4,0.1,100.0,1000.0,wl_buffer_full,full,0.0011576561123730921,0.0011576561123730921,0.4134486115618186,0.4134486115618186,dense,0.0001841000048443675
4,4,0.1,100.0,1000.0,bl_star,full,0.001041244376090067,0.0013144264952437575,0.46943803401562767,0.3565685704150048,dense,0.000148899998748675
4,4,0.1,100.0,1000.0,combined_full,full,0.000541841491841492,0.000541841491841492,0.19351481851481855,0.19351481851481855,dense,0.0001816000003600493
8,8,0.001,1.0,1000.0,baseline,none,0.00023517795458720308,0.00028457111424399616,0.0508162704007136,0.0410675120756755,dense,0.002338399994187057
8,8,0.001,1.0,1000.0,wl_partial_2,partial,0.00014146239150261312,0.00014409795196802886,0.025731777137148013,0.02525667313753933,dense,0.0029966000001877546
8,8,0.001,1.0,1000.0,wl_partial_4,partial,0.00015779649719184093,0.00017057465522604068,0.03045975986179298,0.02809438523400648,dense,0.002756799993221648
8,8,0.001,1.0,1000.0,wl_full_nonideal_lo,partial,0.00013977544684142472,0.00013984190233750152,0.024971768274553843,0.024959881408232597,dense,0.00330470000335481
8,8,0.001,1.0,1000.0,wl_full_nonideal_hi,partial,0.00014376936818213717,0.00014409924825848752,0.025732008617587055,0.025672620631748758,dense,0.01390479999827221
8,8,0.001,1.0,1000.0,wl_buffer_full,full,0.00013877678717241163,0.00013877678717241163,0.02478156913793065,0.02478156913793065,dense,0.0021532999962801114
8,8,0.001,1.0,1000.0,bl_star,full,0.0001305180884252757,0.00017690442337045705,0.03159007560186733,0.021436947450939933,dense,0.0016337999986717477
8,8,0.001,1.0,1000.0,combined_full,full,2.5058101102532274e-05,2.5058101102532274e-05,0.0044746609111664774,0.0044746609111664774,dense,0.002410400004009716
8,8,0.003,3.0,1000.0,baseline,none,0.0006462720132081274,0.0007758774852100999,0.13854955093037497,0.11309343809212741,dense,0.0018468999915057793
8,8,0.003,3.0,1000.0,wl_partial_2,partial,0.0004014528694106797,0.0004086320628843374,0.07297001122934597,0.07167633872174944,dense,0.001648300007218495
8,8,0.003,3.0,1000.0,wl_partial_4,partial,0.0004455067225017602,0.00048007997532970633,0.08572856702316184,0.07933860274750551,dense,0.001525899991975166
8,8,0.003,3.0,1000.0,wl_full_nonideal_lo,partial,0.00039686640650368694,0.00039704763455643884,0.0709013633136498,0.07086894927201882,dense,0.004658000005292706
8,8,0.003,3.0,1000.0,wl_full_nonideal_hi,partial,0.00040774362299578735,0.00040864215271683123,0.07297181298514843,0.07281010423651907,dense,0.002855500002624467
8,8,0.003,3.0,1000.0,wl_buffer_full,full,0.00039414293079925635,0.00039414293079925635,0.07038266621415291,0.07038266621415291,dense,0.002151900000171736
8,8,0.003,3.0,1000.0,bl_star,full,0.000371833528501766,0.0005025177809475125,0.0897353180263415,0.061189150460302294,dense,0.0015885000029811636
8,8,0.003,3.0,1000.0,combined_full,full,7.433880731254946e-05,7.433880731254946e-05,0.013274787020098117,0.013274787020098117,dense,0.0021681000071112067
8,8,0.01,10.0,1000.0,baseline,none,0.001669634538125777,0.0019607587956196647,0.3501354992177973,0.2937014320682819,dense,0.0014989000046625733
8,8,0.01,10.0,1000.0,wl_partial_2,partial,0.0011259240370971213,0.001143793576082193,0.20424885287182018,0.20103212996035827,dense,0.001696600011200644
8,8,0.01,10.0,1000.0,wl_partial_4,partial,0.0012325019051015239,0.0013168747006981982,0.23515619655324968,0.21962701002515161,dense,0.002996000010170974
8,8,0.01,10.0,1000.0,wl_full_nonideal_lo,partial,0.0011145690142903505,0.0011150216445001138,0.1991110079464489,0.19903006591134187,dense,0.0027113999967696145
8,8,0.01,10.0,1000.0,wl_full_nonideal_hi,partial,0.0011416303325950303,0.0011438664573879282,0.20426186739070146,0.20385978373126978,dense,0.002778900001430884
8,8,0.01,10.0,1000.0,wl_buffer_full,full,0.0011077662794738196,0.0011077662794738196,0.19781540704889636,0.19781540704889636,dense,0.0023471000022254884
8,8,0.01,10.0,1000.0,bl_star,full,0.0010543330193683947,0.0014111231994705835,0.25198628561974706,0.17457318592487267,dense,0.0015880999999353662
8,8,0.01,10.0,1000.0,combined_full,full,0.0002385698289210092,0.0002385698289210092,0.042601755164465925,0.042601755164465925,dense,0.0020835000032093376
8,8,0.03,30.0,1000.0,baseline,none,0.003075291531403797,0.003479313538500718,0.6213059890179854,0.5445827668622272,dense,0.001520999998319894
8,8,0.03,30.0,1000.0,wl_partial_2,partial,0.0023308986520471434,0.0023609287846685723,0.4215944258336736,0.41619690427670303,dense,0.0019672000053105876
8,8,0.03,30.0,1000.0,wl_partial_4,partial,0.0025000544518791476,0.002635876388164035,0.47069221217214907,0.445851457891715,dense,0.0017167000041808933
8,8,0.03,30.0,1000.0,wl_full_nonideal_lo,partial,0.0023120053604025587,0.0023127721752749316,0.41299503129909493,0.4128579407474581,dense,0.0026856000040424988
8,8,0.03,30.0,1000.0,wl_full_nonideal_hi,partial,0.0023574684016210226,0.0023612250766533323,0.42164733511666647,0.4209727164839444,dense,0.0029343999922275543
8,8,0.03,30.0,1000.0,wl_buffer_full,full,0.0023004765432305015,0.0023004765432305015,0.41079938271973243,0.41079938271973243,dense,0.06287500000325963
8,8,0.03,30.0,1000.0,bl_star,full,0.0022237237123569177,0.0029050640160579438,0.5187614314389185,0.3733344318008711,dense,0.003472200012765825
8,8,0.03,30.0,1000.0,combined_full,full,0.0006478646392781735,0.0006478646392781735,0.11569011415681671,0.11569011415681671,dense,0.0021177000016905367
8,8,0.1,100.0,1000.0,baseline,none,0.004418903678094598,0.004767495870765113,0.851338548350913,0.786656224199689,dense,0.0015295000048354268
8,8,0.1,100.0,1000.0,wl_partial_2,partial,0.0037699420623594814,0.00380945581281596,0.6802599665742786,0.6731665678955532,dense,0.0017053999908966944
8,8,0.1,100.0,1000.0,wl_partial_4,partial,0.003961229638875832,0.004117994661610755,0.735356189573349,0.7068660387447839,dense,0.0015285999979823828
8,8,0.1,100.0,1000.0,wl_full_nonideal_lo,partial,0.003745672357487766,0.00374671203880539,0.6690557212152483,0.6688698831214244,dense,0.0029511000029742718
8,8,0.1,100.0,1000.0,wl_full_nonideal_hi,partial,0.003805642876586683,0.0038105804413346087,0.6804607930954658,0.6795750444633426,dense,0.00346319998789113
8,8,0.1,100.0,1000.0,wl_buffer_full,full,0.0037300097476142356,0.0037300097476142356,0.6660731692168278,0.6660731692168278,dense,0.002118699994753115
8,8,0.1,100.0,1000.0,bl_star,full,0.003679895345329327,0.0045344614295079475,0.8097252552692763,0.6340870951141468,dense,0.0015310000017052516
8,8,0.1,100.0,1000.0,combined_full,full,0.0016370212304035832,0.0016370212304035832,0.2923252197149256,0.2923252197149256,dense,0.002121199999237433
16,16,0.001,1.0,1000.0,baseline,none,0.001646931549511131,0.001977617303090727,0.17657297349024348,0.14411555400508916,dense,0.01156470000569243
16,16,0.001,1.0,1000.0,wl_partial_2,partial,0.0009491007017600167,0.0009537866707192578,0.0851595241713623,0.08474009609519084,dense,0.016271399988909252
16,16,0.001,1.0,1000.0,wl_partial_4,partial,0.0009773897209429396,0.001000547923048021,0.08933463598643043,0.0872459300759986,dense,0.010414500007755123
16,16,0.001,1.0,1000.0,wl_full_nonideal_lo,partial,0.0009462132503727638,0.0009462719860620777,0.08448857018411408,0.08448332348235446,dense,0.031313800005591474
16,16,0.001,1.0,1000.0,wl_full_nonideal_hi,partial,0.0009534959040563322,0.0009537888256105839,0.08515971657237356,0.08513350232314267,dense,0.03322240000125021
16,16,0.001,1.0,1000.0,wl_buffer_full,full,0.0009443914818130176,0.0009443914818130176,0.08432066801901943,0.08432066801901943,dense,0.020534900002530776
