rows,cols,r_col_end_ratio,r_col_end,variant,rmse,max_abs_error,max_rel_error,mean_rel_error,backend
8,8,0,0.0,baseline,0.001669634538125777,0.0019607587956196647,0.3501354992177973,0.2937014320682819,dense
8,8,0,0.0,wl_buffer_full,0.0011077662794738196,0.0011077662794738196,0.19781540704889636,0.19781540704889636,dense
8,8,0,0.0,bl_star,0.0010543330193683947,0.0014111231994705835,0.25198628561974706,0.17457318592487267,dense
8,8,0,0.0,combined_full,0.0002385698289210092,0.0002385698289210092,0.042601755164465925,0.042601755164465925,dense
8,8,0.1,1.0,baseline,0.001691077635686814,0.0019794241554285026,0.3534685991836612,0.2976905655697668,dense
8,8,0.1,1.0,wl_buffer_full,0.0011364112564287232,0.0011364112564287232,0.20293058150512916,0.20293058150512916,dense
8,8,0.1,1.0,bl_star,0.0010807458793694162,0.0014357475198089054,0.25638348568016167,0.18002703056456298,dense
8,8,0.1,1.0,combined_full,0.0002793218919766604,0.00027932189197666085,0.04987890928154658,0.0498789092815465,dense
8,8,0.3,3.0,baseline,0.0017333362026826504,0.0020161921923916594,0.3600343200699392,0.30553443135759745,dense
8,8,0.3,3.0,wl_buffer_full,0.0011926190732664335,0.0011926190732664335,0.21296769165472026,0.21296769165472026,dense
8,8,0.3,3.0,bl_star,0.0011332473362108354,0.001484150798240106,0.2650269282571618,0.1907197165456903,dense
8,8,0.3,3.0,combined_full,0.00035899531734537044,0.00035899531734537044,0.06410630666881616,0.06410630666881616,dense
8,8,1,10.0,baseline,0.0018748484369452078,0.002139255364778591,0.38200988656760554,0.3316534018245552,dense
8,8,1,10.0,wl_buffer_full,0.0013786692017239812,0.0013786692017239812,0.24619092887928234,0.24619092887928234,dense
8,8,1,10.0,bl_star,0.001312006747686531,0.0016451650280866282,0.2937794693011836,0.22602942594994535,dense
8,8,1,10.0,combined_full,0.0006199974824846665,0.0006199974824846665,0.11071383615797617,0.11071383615797617,dense
8,8,3,30.0,baseline,0.0022298706732600915,0.0024487787041722778,0.4372819114593353,0.3964640013270959,dense
8,8,3,30.0,wl_buffer_full,0.00183300446638198,0.00183300446638198,0.3273222261396393,0.3273222261396393,dense
8,8,3,30.0,bl_star,0.0017665659722757355,0.0020434334351708567,0.36489882770908155,0.3117371961302925,dense
8,8,3,30.0,combined_full,0.0012403182306785655,0.0012403182306785655,0.22148539833545813,0.22148539833545813,dense
8,8,10,100.0,baseline,0.003077821718511065,0.003201399080304406,0.5716784071972154,0.5492351814804354,dense
8,8,10,100.0,wl_buffer_full,0.0028637489970710864,0.0028637489970710864,0.5113837494769797,0.5113837494769797,dense
8,8,10,100.0,bl_star,0.002824043468317629,0.0029727492475426828,0.5308480799183362,0.5036929836390851,dense
8,8,10,100.0,combined_full,0.0025639426281468033,0.0025639426281468033,0.45784689788335775,0.45784689788335775,dense
64,64,0,0.0,baseline,0.04260835123899958,0.043838281057895764,0.9785330593280308,0.9504914413952927,sparse
64,64,0,0.0,wl_buffer_full,0.03814129066673677,0.03814129066673677,0.8513680952396604,0.8513680952396604,sparse
64,64,0,0.0,bl_star,0.03935052052498596,0.04452750952294184,0.9939176232799521,0.8571003522431317,sparse
64,64,0,0.0,combined_full,0.010307481993810296,0.010307481993810298,0.23007772307612281,0.2300777230761228,sparse
64,64,0.1,1.0,baseline,0.042617973466687754,0.04383781056265702,0.978522557202166,0.9507183950222846,sparse
64,64,0.1,1.0,wl_buffer_full,0.03820403440625244,0.03820403440625244,0.8527686251395636,0.8527686251395634,sparse
64,64,0.1,1.0,bl_star,0.03942641911176943,0.044504665489371056,0.9934077118163186,0.8606349623383973,sparse
64,64,0.1,1.0,combined_full,0.011927285830120163,0.011927285830120163,0.26623405870803946,0.2662340587080394,sparse
64,64,0.3,3.0,baseline,0.042636880622136414,0.043836937897589745,0.9785030780712,0.9511637647136827,sparse
64,64,0.3,3.0,wl_buffer_full,0.03832604016714618,0.03832604016714618,0.8554919680166561,0.855491968016656,sparse
64,64,0.3,3.0,bl_star,0.039575115464050355,0.044459294973177174,0.9923949770798479,0.8669918971382666,sparse
64,64,0.3,3.0,combined_full,0.014749673785442417,0.014749673785442438,0.32923378985362595,0.3292337898536255,sparse
64,64,1,10.0,baseline,0.0426997446866536,0.04383456541211387,0.9784501208061135,0.9526392352880622,sparse
64,64,1,10.0,wl_buffer_full,0.03871967778505013,0.03871967778505013,0.8642785219877264,0.8642785219877264,sparse
64,64,1,10.0,bl_star,0.04004229635770073,0.044309074325794305,0.9890418376293375,0.88393880750459,sparse
64,64,1,10.0,combined_full,0.02169330962155341,0.02169330962155342,0.484225661195389,0.4842256611953889,sparse
64,64,3,30.0,baseline,0.042855665483134124,0.043832821295704615,0.9784111896362641,0.9562669245983859,sparse
64,64,3,30.0,wl_buffer_full,0.039619629787475234,0.039619629787475234,0.8843667363275725,0.8843667363275722,sparse
64,64,3,30.0,bl_star,0.04095850030751277,0.043988472118266106,0.9818855383541545,0.9107323201503177,sparse
64,64,3,30.0,combined_full,0.03088190970818717,0.03088190970818718,0.689328341700607,0.6893283417006069,sparse
64,64,10,100.0,baseline,0.043231532534151455,0.043862536069617666,0.9790744658396804,0.9648693253243179,sparse
64,64,10,100.0,wl_buffer_full,0.041387454627258936,0.041387454627258936,0.9238271122156015,0.9238271122156014,sparse
64,64,10,100.0,bl_star,0.04230641443485765,0.04363160271002592,0.9739197033487932,0.9438655696664415,sparse
64,64,10,100.0,combined_full,0.03898093580130976,0.03898093580130977,0.870110174136379,0.8701101741363788,sparse
