rows,cols,r_col_end_ratio,r_col_end,variant,rmse,max_abs_error,max_rel_error,mean_rel_error,backend
8,8,0,0.0,baseline,2.3517795458720532e-05,2.8457111424401243e-05,0.05081627040071651,0.04106751207567594,dense
8,8,0,0.0,wl_buffer_full,1.3877678717241293e-05,1.3877678717241293e-05,0.024781569137930882,0.024781569137930882,dense
8,8,0,0.0,bl_star,1.3051808842527724e-05,1.7690442337046117e-05,0.031590075601868065,0.021436947450940165,dense
8,8,0,0.0,combined_full,2.5058101102532707e-06,2.5058101102532707e-06,0.0044746609111665555,0.0044746609111665555,dense
8,8,0.1,1.0,baseline,2.3918968810281924e-05,2.8860382232574386e-05,0.05153639684388284,0.041802650937914014,dense
8,8,0.1,1.0,wl_buffer_full,1.430341740924206e-05,1.430341740924206e-05,0.025541816802217968,0.025541816802217968,dense
8,8,0.1,1.0,bl_star,1.3444101625655572e-05,1.8110206942459914e-05,0.0323396552543927,0.022202483495129627,dense
8,8,0.1,1.0,combined_full,2.9494564552548616e-06,2.949456455254916e-06,0.005266886527240921,0.005266886527240824,dense
8,8,0.3,3.0,baseline,2.4720515596878537e-05,2.9665091135666838e-05,0.0529733770279765,0.04326955211183024,dense
8,8,0.3,3.0,wl_buffer_full,1.51529065433386e-05,1.51529065433386e-05,0.027058761684533215,0.027058761684533215,dense
8,8,0.3,3.0,bl_star,1.4233145968170933e-05,1.8947789950697147e-05,0.03383533919767348,0.023729967579433554,dense
8,8,0.3,3.0,combined_full,3.834634224700458e-06,3.8346342247005125e-06,0.00684756111553663,0.006847561115536534,dense
8,8,1,10.0,baseline,2.7515941912825155e-05,3.246247377770904e-05,0.05796870317448044,0.048368522419195134,dense
8,8,1,10.0,wl_buffer_full,1.8105403501956596e-05,1.8105403501956596e-05,0.032331077682065355,0.032331077682065355,dense
8,8,1,10.0,bl_star,1.702558047350677e-05,2.1859052391733687e-05,0.039034022128095876,0.02903878054884037,dense
8,8,1,10.0,combined_full,6.91072521288394e-06,6.9107252128840484e-06,0.012340580737292944,0.012340580737292751,dense
8,8,3,30.0,baseline,3.539272495723697e-05,4.0294817348790176e-05,0.07195503097998246,0.06264199346811236,dense
8,8,3,30.0,wl_buffer_full,2.636747723346435e-05,2.636747723346435e-05,0.04708478077404348,0.04708478077404348,dense
8,8,3,30.0,bl_star,2.506177977601286e-05,3.000694783041383e-05,0.05358383541145327,0.04389351533360228,dense
8,8,3,30.0,combined_full,1.5514977392496474e-05,1.5514977392496474e-05,0.027705316772315133,0.027705316772315133,dense
8,8,10,100.0,baseline,6.14078025653861e-05,6.596716207426493e-05,0.11779850370404452,0.10939521897709972,dense
8,8,10,100.0,wl_buffer_full,5.340123493658192e-05,5.340123493658192e-05,0.09535934810103915,0.09535934810103915,dense
8,8,10,100.0,bl_star,5.1979646953611985e-05,5.667955857895481e-05,0.10121349746241931,0.09248736601404468,dense
8,8,10,100.0,combined_full,4.3630522078489124e-05,4.363052207848929e-05,0.07791164656873088,0.07791164656873059,dense
64,64,0,0.0,baseline,0.003184839175460531,0.0035284045841011222,0.7875903089511436,0.7068206243355164,sparse
64,64,0,0.0,wl_buffer_full,0.00237480641144693,0.00237480641144693,0.5300907168408328,0.5300907168408326,sparse
64,64,0,0.0,bl_star,0.002523538991681671,0.0032997941798553433,0.7365612008605679,0.5243796164295185,sparse
64,64,0,0.0,combined_full,0.00013962721814734724,0.00013962721814734895,0.031166789765033256,0.031166789765032878,sparse
64,64,0.1,1.0,baseline,0.0031872850940327046,0.003529448635330705,0.7878233561006039,0.7074064932316894,sparse
64,64,0.1,1.0,wl_buffer_full,0.0023811186280289424,0.0023811186280289424,0.5314996937564606,0.5314996937564604,sparse
64,64,0.1,1.0,bl_star,0.00252795461129544,0.0033001652757436756,0.7366440347642135,0.5260908351863166,sparse
64,64,0.1,1.0,combined_full,0.00016637399657074003,0.00016637399657074003,0.03713705280596877,0.03713705280596877,sparse
64,64,0.3,3.0,baseline,0.0031921497338499357,0.0035315345202452456,0.7882889554118854,0.708570687409903,sparse
64,64,0.3,3.0,wl_buffer_full,0.0023936301787513964,0.002393630178751397,0.5342924506141512,0.5342924506141511,sparse
64,64,0.3,3.0,bl_star,0.002536817554345075,0.0033009729359716527,0.7368243160651012,0.5294694440852705,sparse
64,64,0.3,3.0,combined_full,0.00021889065958296131,0.0002188906595829614,0.048859522228339614,0.0488595222283396,sparse
64,64,1,10.0,baseline,0.003208895121442267,0.0035388100879223177,0.789912966054089,0.7125679624683153,sparse
64,64,1,10.0,wl_buffer_full,0.002436269945829399,0.0024362699458293996,0.5438102557654911,0.5438102557654911,sparse
64,64,1,10.0,bl_star,0.00256805379161474,0.0033044372888295314,0.7375976091137348,0.5408561010860574,sparse
64,64,1,10.0,combined_full,0.00039304047369731384,0.0003930404736973139,0.08773224859315044,0.08773224859315043,sparse
64,64,3,30.0,baseline,0.0032544451919857558,0.0035593452469402827,0.7944967069063134,0.7233669981636291,sparse
64,64,3,30.0,wl_buffer_full,0.002549024048297259,0.002549024048297259,0.5689785822092097,0.5689785822092097,sparse
64,64,3,30.0,bl_star,0.002657010335240666,0.003318744126079668,0.7407910995713547,0.57009628455774,sparse
64,64,3,30.0,combined_full,0.0008203757889038197,0.0008203757889038198,0.18311959573745984,0.1831195957374598,sparse
64,64,10,100.0,baseline,0.003391014394287832,0.00362735406632175,0.8096772469468194,0.7552200046720976,sparse
64,64,10,100.0,wl_buffer_full,0.0028615440082022893,0.0028615440082022893,0.6387375018308683,0.6387375018308683,sparse
64,64,10,100.0,bl_star,0.002932082527363234,0.0033945452240332344,0.7577109875074186,0.6459808851278763,sparse
64,64,10,100.0,combined_full,0.001800845614388629,0.001800845614388629,0.40197446749746196,0.40197446749746196,sparse
